Site,session_id,age
OSUNewark,681116,18
OSUNewark,681154,NA
OSUNewark,682545,NA
OSUNewark,682559,21
OSUNewark,682557,22
OSUNewark,682556,19
OSUNewark,682558,18
OSUNewark,682973,18
OSUNewark,682974,19
OSUNewark,682971,19
OSUNewark,682982,19
OSUNewark,683012,18
OSUNewark,681157,18
OSUNewark,683013,18
OSUNewark,683023,19
OSUNewark,683022,18
OSUNewark,683021,20
OSUNewark,683020,18
OSUNewark,683032,20
OSUNewark,683034,18
OSUNewark,683035,18
OSUNewark,683031,Too Old (18)
OSUNewark,683116,18
OSUNewark,681159,21
OSUNewark,683115,18
OSUNewark,683136,19
OSUNewark,683137,19
OSUNewark,683150,18
OSUNewark,683149,18
OSUNewark,683151,18
OSUNewark,683148,NA
OSUNewark,683163,19
OSUNewark,683162,19
OSUNewark,683232,18
OSUNewark,681175,18
OSUNewark,683233,19
OSUNewark,683235,22
OSUNewark,683234,18
OSUNewark,683250,19
OSUNewark,683253,19
OSUNewark,A4,NA
OSUNewark,683263,20
OSUNewark,683261,18 years
OSUNewark,683262,19
OSUNewark,681188,NA
OSUNewark,683274,18
OSUNewark,683290,19
OSUNewark,683310,18
OSUNewark,683298,19
OSUNewark,683307,19
OSUNewark,683308,18
OSUNewark,683369,19
OSUNewark,683370,18
OSUNewark,683371,18
OSUNewark,683387,19
OSUNewark,681194,18
OSUNewark,683388,18
OSUNewark,683389,18
OSUNewark,683390,19
OSUNewark,683419,18
OSUNewark,683423,19
OSUNewark,683422,18
OSUNewark,683443,18
OSUNewark,683444,19
OSUNewark,681285,18
OSUNewark,681287,18
OSUNewark,681286,18
OSUNewark,681297,18
OSUNewark,681114,19
OSUNewark,681299,18
OSUNewark,681323,18
OSUNewark,681325,19
OSUNewark,681324,18
OSUNewark,681337,19
OSUNewark,681335,18
OSUNewark,681336,NA
OSUNewark,681340,18
OSUNewark,681341,19
OSUNewark,681339,19
OSUNewark,681115,19
OSUNewark,681345,21
OSUNewark,681344,18
OSUNewark,681763,19
OSUNewark,681764,19
OSUNewark,681765,18
OSUNewark,681762,19
OSUNewark,681772,18
OSUNewark,681773,19
OSUNewark,681774,18
OSUNewark,681783,19
OSUNewark,681133,18
OSUNewark,681785,19
OSUNewark,681784,19
OSUNewark,681789,18
OSUNewark,681787,19
OSUNewark,681788,19
OSUNewark,681873,19
OSUNewark,681875,19
OSUNewark,681874,19
OSUNewark,681899,18
OSUNewark,681893,18
OSUNewark,681135,18
OSUNewark,681896,18
OSUNewark,681912,18
OSUNewark,681918,18
OSUNewark,681916,18
OSUNewark,681914,19
OSUNewark,681922,18
OSUNewark,681926,19
OSUNewark,681924,18
OSUNewark,681941,18
OSUNewark,681940,18
OSUNewark,681143,18
OSUNewark,681939,18
OSUNewark,681937,18
OSUNewark,681948,20
OSUNewark,681949,18
OSUNewark,682031,18
OSUNewark,682032,19
OSUNewark,682075,18
OSUNewark,682076,18
OSUNewark,682085,20
OSUNewark,682082,18
OSUNewark,681140,18
OSUNewark,682083,21
OSUNewark,682084,18
OSUNewark,682091,18
OSUNewark,682093,19
OSUNewark,682092,18
OSUNewark,682090,19
OSUNewark,682325,20
OSUNewark,682345,18
OSUNewark,682344,18
OSUNewark,682347,18
OSUNewark,681152,18
OSUNewark,682370,18
OSUNewark,682367,18
OSUNewark,682366,33
OSUNewark,682378,18
OSUNewark,682376,20
OSUNewark,682379,18
OSUNewark,682393,18
OSUNewark,682394,18
OSUNewark,682391,19
OSUNewark,682398,18
OSUNewark,681149,19
OSUNewark,682396,19
OSUNewark,682477,18
OSUNewark,682479,18
OSUNewark,682478,22
OSUNewark,682537,18
OSUNewark,682536,18
OSUNewark,682535,19
OSUNewark,682542,19
OSUNewark,682548,19
OSUNewark,682543,18
OSUNewark,682999,NA
OSUNewark,683247,19
OSUNewark,683248,18
OSUNewark,NA,NA
PacificLutheranUniversity,NA,NA
PacificLutheranUniversity,7605911,19
PacificLutheranUniversity,7606042,18
PacificLutheranUniversity,7606252,18
PacificLutheranUniversity,7606385,18
PacificLutheranUniversity,7608411,20
PacificLutheranUniversity,NA,NA
PacificLutheranUniversity,7610031,18
PacificLutheranUniversity,7610148,19
PacificLutheranUniversity,7610232,18
PacificLutheranUniversity,7457614,18
PacificLutheranUniversity,7610427,19
PacificLutheranUniversity,7610545,19
PacificLutheranUniversity,7457923,18
PacificLutheranUniversity,7458017,18
PacificLutheranUniversity,NA,NA
PacificLutheranUniversity,NA,NA
PacificLutheranUniversity,7459625,20
PacificLutheranUniversity,7459713,18
PacificLutheranUniversity,7459828,18
PacificLutheranUniversity,7460035,20
PacificLutheranUniversity,7460172,17
PacificLutheranUniversity,7460235,20
PacificLutheranUniversity,7460314,18
PacificLutheranUniversity,7460887,19
PacificLutheranUniversity,7460937,18
PacificLutheranUniversity,7460998,18
PacificLutheranUniversity,7461063,19
PacificLutheranUniversity,7461103,19
PacificLutheranUniversity,7461195,18
PacificLutheranUniversity,7461269,18
PacificLutheranUniversity,7462464,20
PacificLutheranUniversity,7462550,18
PacificLutheranUniversity,7462677,19
PacificLutheranUniversity,NA,NA
PacificLutheranUniversity,7463084,18
PacificLutheranUniversity,7466393,18
PacificLutheranUniversity,7466531,19
PacificLutheranUniversity,7466745,18
PacificLutheranUniversity,7466944,18
PacificLutheranUniversity,7467323,18
PacificLutheranUniversity,7467457,18
PacificLutheranUniversity,7467543,18
PacificLutheranUniversity,7469567,19
PacificLutheranUniversity,7469714,18
PacificLutheranUniversity,7469793,18
PacificLutheranUniversity,NA,NA
PacificLutheranUniversity,7470913,18
PacificLutheranUniversity,7471007,19
PacificLutheranUniversity,NA,NA
PacificLutheranUniversity,7473378,19
PacificLutheranUniversity,7473471,19
PacificLutheranUniversity,7474471,18
PacificLutheranUniversity,7474574,18
PacificLutheranUniversity,7474678,19
PacificLutheranUniversity,7475626,18
PacificLutheranUniversity,7475670,18
PacificLutheranUniversity,7475732,18
PacificLutheranUniversity,7477076,18
PacificLutheranUniversity,7477127,19
PacificLutheranUniversity,7477172,18
PacificLutheranUniversity,7551674,18
PacificLutheranUniversity,7551790,22
PacificLutheranUniversity,7551858,19
PacificLutheranUniversity,7551945,18
PacificLutheranUniversity,7554127,21
PacificLutheranUniversity,7554176,19
PacificLutheranUniversity,7554244,19
PacificLutheranUniversity,7554307,17
PacificLutheranUniversity,7554398,18
PacificLutheranUniversity,7554517,18
PacificLutheranUniversity,7454295,17
PacificLutheranUniversity,7555202,18
PacificLutheranUniversity,7555319,19
PacificLutheranUniversity,7557560,19
PacificLutheranUniversity,7557638,18
PacificLutheranUniversity,7557684,17
PacificLutheranUniversity,7557743,19
PacificLutheranUniversity,7557848,19
PacificLutheranUniversity,7557915,18
PacificLutheranUniversity,7558832,18
PacificLutheranUniversity,7567200,19
PacificLutheranUniversity,7454384,18
PacificLutheranUniversity,7567334,18
PacificLutheranUniversity,7568977,18
PacificLutheranUniversity,7570649,18
PacificLutheranUniversity,7570757,18
PacificLutheranUniversity,7570904,19
PacificLutheranUniversity,7571657,18
PacificLutheranUniversity,7571741,18
PacificLutheranUniversity,7571817,18
PacificLutheranUniversity,7579490,18
PacificLutheranUniversity,7579539,18
PacificLutheranUniversity,7454511,24
PacificLutheranUniversity,7579583,18
PacificLutheranUniversity,7580631,20
PacificLutheranUniversity,7580720,26
PacificLutheranUniversity,7600213,18
PacificLutheranUniversity,7600560,18
PacificLutheranUniversity,7602716,22
PacificLutheranUniversity,7602876,18
PacificLutheranUniversity,7603180,20
PacificLutheranUniversity,7603423,19
PacificLutheranUniversity,7603733,18
PacificLutheranUniversity,7469693,NA
PacificLutheranUniversity,7470807,NA
PacificLutheranUniversity,7405074,43
PacificLutheranUniversity,7600460,NA
PacificLutheranUniversity,7454662,18
PacificLutheranUniversity,7608698,19
PacificLutheranUniversity,7473281,NA
PacificLutheranUniversity,7652698,NA
PacificLutheranUniversity,7608883,19
PennStateAbington,7391552,18
PennStateAbington,7392714,18
PennStateAbington,7625268,23
PennStateAbington,7625274,18
PennStateAbington,NA,NA
PennStateAbington,7629775,22
PennStateAbington,7629868,19
PennStateAbington,7631097,19
PennStateAbington,7631318,19
PennStateAbington,7631316,19
PennStateAbington,7635103,22
PennStateAbington,7635119,19
PennStateAbington,NA,NA
PennStateAbington,NA,NA
PennStateAbington,7635253,18
PennStateAbington,7641672,18
PennStateAbington,7641660,18
PennStateAbington,7641820,18
PennStateAbington,7641927,22
PennStateAbington,7641989,21
PennStateAbington,7642406,54
PennStateAbington,7642571,19
PennStateAbington,7642791,18
PennStateAbington,NA,NA
PennStateAbington,7643008,18
PennStateAbington,7642928,19
PennStateAbington,NA,NA
PennStateAbington,NA,NA
PennStateAbington,7406350,18
PennStateAbington,7406351,18
PennStateAbington,NA,NA
PennStateAbington,NA,NA
PennStateAbington,7391599,19
PennStateAbington,NA,NA
PennStateAbington,7406487,18
